f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,close
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,52.08,51.58,52.74,-0.0109,52.5,0,0,0,0,0,0,0,51.93
0,0,53.24,51.5,54.31,0.0375,51.95,0,0,0,0,0,0,0,53.9
0,0,53.82,53.28,54.42,-0.0061009,54.09,0,0,0,0,0,0,0,53.76
0,0,55.93,54.11,57.02,0.0467,54.12,0,0,0,0,0,0,0,56.65
0,0,57.36,56.66,57.98,0.0029689,57.26,0,0,0,0,0,0,0,57.43
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,57.62,56.75,58.22,0.0031185,57.72,0,0,0,0,0,0,0,57.9
0,0,57.96,57.2,58.84,0.0015587,57.74,0,0,0,0,0,0,0,57.83
0,0,59.32,58.65,59.93,0.0091774,58.84,0,0,0,0,0,0,0,59.38
0,0,59.26,58.61,59.73,0.0026995,59.27,0,0,0,0,0,0,0,59.43
0,0,58.67,57.75,59.8,-0.0127,59.22,0,0,0,0,0,0,0,58.47
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,59.24,58.34,60.28,-0.0030369,59.27,0,0,0,0,0,0,0,59.09
0,0,57.26,56.09,59.43,-0.0489,59.14,0,0,0,0,0,0,0,56.25
0,0,56.95,56.04,57.48,0.015,56.49,0,0,0,0,0,0,0,57.34
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,57.21,56.29,57.82,0.0022656,57.38,0,0,0,0,0,0,0,57.51
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,57.81,57.3,58.46,-0.0019041,57.77,0,0,0,0,0,0,0,57.66
0,0,58.07,57.29,59.1,0.0046908,57.56,0,0,0,0,0,0,0,57.83
0,0,59.77,58.35,60.53,0.0348,58.4,0,0,0,0,0,0,0,60.43
0,0,60.43,60.14,60.94,-0.0039709,60.44,0,0,0,0,0,0,0,60.2
0,0,60.29,59.93,60.74,-0.004135,60.46,0,0,0,0,0,0,0,60.21
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,59.9,59.2,60.92,-0.0111,60.25,0,0,0,0,0,0,0,59.58
0,0,58.25,57.07,60.06,-0.0277,59.26,0,0,0,0,0,0,0,57.62
0,0,57.12,56.21,58.36,-0.0129,57.52,0,0,0,0,0,0,0,56.78
0,0,55.78,54.72,57.32,-0.023,56.6,0,0,0,0,0,0,0,55.3
0,0,55.66,54.99,56.36,-0.0016152,55.72,0,0,0,0,0,0,0,55.63
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,56.26,55.72,56.84,0.0,56.22,0,0,0,0,0,0,0,56.22
0,0,56.66,55.74,57.47,0.0107,56.17,0,0,0,0,0,0,0,56.77
0,0,56.28,55.33,57.64,-0.0236,57.23,0,0,0,0,0,0,0,55.88
0,0,56.27,55.81,56.99,0.0021467,55.9,0,0,0,0,0,0,0,56.02
0,0,56.15,55.68,56.57,0.0048275,55.93,0,0,0,0,0,0,0,56.2
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,56.59,55.81,57.1,0.0119,56.2,0,0,0,0,0,0,0,56.87
0,0,57.83,56.96,58.47,0.0172,57.07,0,0,0,0,0,0,0,58.05
0,0,58.4,57.81,58.82,0.0041138,58.34,0,0,0,0,0,0,0,58.58
0,0,55.18,53.59,57.99,-0.0674,57.85,0,0,0,0,0,0,0,53.95
0,0,55.29,54.15,56.05,0.0205,54.54,0,0,0,0,0,0,0,55.66
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,54.84,54.22,55.61,-0.0125,55.38,0,0,0,0,0,0,0,54.69
0,0,54.11,53.29,55.42,-0.024,54.95,0,0,0,0,0,0,0,53.63
0,0,51.79,50.52,53.77,-0.0436,53.42,0,0,0,0,0,0,0,51.09
0,0,52.51,51.94,53.06,0.004013,52.33,0,0,0,0,0,0,0,52.54
0,0,53.93,52.37,54.92,0.0306,52.88,0,0,0,0,0,0,0,54.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,54.55,53.54,55.18,0.0112,54.32,0,0,0,0,0,0,0,54.93
0,0,56.26,54.21,57.47,0.0433,54.73,0,0,0,0,0,0,0,57.1
0,0,55.35,53.97,56.85,-0.0266,56.74,0,0,0,0,0,0,0,55.23
0,0,54.52,53.77,55.33,-0.0078324,54.9,0,0,0,0,0,0,0,54.47
0,0,54.93,54.26,55.67,0.0023749,54.74,0,0,0,0,0,0,0,54.87
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,55.82,54.84,56.41,0.0227,54.96,0,0,0,0,0,0,0,56.21
0,0,56.07,55.28,56.6,0.0042781,56.1,0,0,0,0,0,0,0,56.34
0,0,56.12,55.55,57.13,-0.0066012,56.05,0,0,0,0,0,0,0,55.68
0,0,55.55,54.85,56.46,-0.0105,55.94,0,0,0,0,0,0,0,55.35
0,0,54.34,53.24,55.6,-0.0213,55.35,0,0,0,0,0,0,0,54.17
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,53.95,52.96,55.26,0.0073239,53.25,0,0,0,0,0,0,0,53.64
0,0,54.78,53.69,55.72,0.0218,53.76,0,0,0,0,0,0,0,54.93
0,0,55.96,55.34,56.75,0.0012565,55.71,0,0,0,0,0,0,0,55.78
0,0,56.34,55.43,56.89,0.0149,55.88,0,0,0,0,0,0,0,56.71
0,0,55.46,54.55,56.72,-0.027,56.63,0,0,0,0,0,0,0,55.1
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,54.01,52.84,55.24,-0.0193,55.0,0,0,0,0,0,0,0,53.94
0,0,55.56,53.84,56.58,0.0434,53.92,0,0,0,0,0,0,0,56.26
0,0,56.6,55.75,57.76,0.0062556,55.95,0,0,0,0,0,0,0,56.3
0,0,56.1,54.83,56.95,0.0058729,56.19,0,0,0,0,0,0,0,56.52
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,57.53,56.58,58.16,0.0185,56.8,0,0,0,0,0,0,0,57.85
0,0,57.79,57.2,58.76,-0.0109,58.03,0,0,0,0,0,0,0,57.4
0,0,56.55,55.61,58.3,-0.037,57.89,0,0,0,0,0,0,0,55.75
0,0,55.14,54.0,56.34,-0.015,55.93,0,0,0,0,0,0,0,55.09
0,0,54.99,54.44,55.68,-0.0054397,55.15,0,0,0,0,0,0,0,54.85
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,61.68,58.77,63.38,0.0231,61.48,0,0,0,0,0,0,0,62.9
0,0,60.13,58.46,62.59,-0.0423,61.96,0,0,0,0,0,0,0,59.34
0,0,58.4,57.67,59.43,-0.0119,58.81,0,0,0,0,0,0,0,58.11
0,0,58.56,58.01,59.54,-0.0012027,58.2,0,0,0,0,0,0,0,58.13
0,0,58.33,57.79,59.1,-0.0095482,58.65,0,0,0,0,0,0,0,58.09
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,58.47,57.37,59.39,-0.0103,59.25,0,0,0,0,0,0,0,58.64
0,0,57.49,56.69,58.49,-0.0197,58.44,0,0,0,0,0,0,0,57.29
0,0,56.35,55.55,57.02,-0.0037037,56.7,0,0,0,0,0,0,0,56.49
0,0,56.22,55.41,56.84,-0.0049391,56.69,0,0,0,0,0,0,0,56.41
0,0,55.81,54.75,56.76,-0.0106,56.51,0,0,0,0,0,0,0,55.91
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,54.87,53.98,56.57,-0.0437,56.54,0,0,0,0,0,0,0,54.07
0,0,53.84,53.05,54.84,-0.0122,54.28,0,0,0,0,0,0,0,53.62
0,0,53.08,52.17,54.42,-0.0252,54.0,0,0,0,0,0,0,0,52.64
0,0,52.12,50.99,52.91,-0.0003811702,52.47,0,0,0,0,0,0,0,52.45
0,0,52.73,52.04,53.35,0.0099445,52.29,0,0,0,0,0,0,0,52.81
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,53.13,52.59,54.06,0.0011387,52.69,0,0,0,0,0,0,0,52.75
0,0,52.57,51.81,53.27,-0.0034084,52.81,0,0,0,0,0,0,0,52.63
0,0,52.88,52.31,53.74,0.0003804451,52.57,0,0,0,0,0,0,0,52.59
0,0,52.97,51.38,53.97,0.0163,52.69,0,0,0,0,0,0,0,53.55
0,0,54.42,53.64,54.93,0.0152,53.88,0,0,0,0,0,0,0,54.7
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,53.75,52.77,54.9,-0.0239,54.9,0,0,0,0,0,0,0,53.59
0,0,53.0,52.39,53.79,-0.0131,53.51,0,0,0,0,0,0,0,52.81
0,0,53.21,52.52,53.74,0.0083144,52.92,0,0,0,0,0,0,0,53.36
0,0,53.57,52.62,54.16,0.0177,52.99,0,0,0,0,0,0,0,53.93
0,0,53.92,53.35,54.62,-0.0057312,54.09,0,0,0,0,0,0,0,53.78
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,53.35,52.71,54.03,-0.0074474,53.71,0,0,0,0,0,0,0,53.31
0,0,53.96,53.1,54.62,0.0144,53.39,0,0,0,0,0,0,0,54.16
0,0,55.22,53.62,56.07,0.0308,54.3,0,0,0,0,0,0,0,55.97
0,0,56.05,55.41,56.51,0.0059034,55.9,0,0,0,0,0,0,0,56.23
0,0,56.33,55.6,56.74,0.0105,56.07,0,0,0,0,0,0,0,56.66
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,56.1,55.58,56.92,-0.0148,56.65,0,0,0,0,0,0,0,55.81
0,0,55.35,54.61,55.91,-0.0046595,55.8,0,0,0,0,0,0,0,55.54
0,0,55.07,54.42,55.73,-0.0084639,55.53,0,0,0,0,0,0,0,55.06
0,0,54.49,53.71,55.59,-0.0131,54.9,0,0,0,0,0,0,0,54.18
0,0,55.53,54.07,56.33,0.0379,54.15,0,0,0,0,0,0,0,56.2
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,56.6,55.83,57.43,0.0023046,56.41,0,0,0,0,0,0,0,56.54
0,0,57.01,56.3,57.5,0.0118,56.56,0,0,0,0,0,0,0,57.23
0,0,56.77,56.11,57.85,-0.0159,57.26,0,0,0,0,0,0,0,56.35
0,0,57.1,56.27,57.88,0.0142,56.35,0,0,0,0,0,0,0,57.15
0,0,56.83,55.76,57.48,0.0028031,57.08,0,0,0,0,0,0,0,57.24
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,56.84,56.25,57.4,-0.0094077,57.4,0,0,0,0,0,0,0,56.86
0,0,56.96,56.54,57.55,-0.001582,56.89,0,0,0,0,0,0,0,56.8
0,0,56.95,56.2,57.53,0.0058109,56.79,0,0,0,0,0,0,0,57.12
0,0,57.06,56.63,57.79,-0.0108,57.39,0,0,0,0,0,0,0,56.77
0,0,57.37,56.43,57.97,0.0142,56.91,0,0,0,0,0,0,0,57.72
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,57.23,56.55,58.09,-0.0143,57.88,0,0,0,0,0,0,0,57.05
0,0,55.79,55.04,57.11,-0.0297,56.9,0,0,0,0,0,0,0,55.21
0,0,56.37,54.76,57.25,0.0354,55.16,0,0,0,0,0,0,0,57.11
0,0,57.95,56.6,58.67,0.0277,57.0,0,0,0,0,0,0,0,58.58
0,0,58.0,57.5,58.74,-0.0092608,58.31,0,0,0,0,0,0,0,57.77
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,57.79,57.21,58.15,0.0015539,57.92,0,0,0,0,0,0,0,58.01
0,0,58.24,57.76,58.56,0.0084599,57.92,0,0,0,0,0,0,0,58.41
0,0,58.1,57.51,58.68,-0.0027458,58.27,0,0,0,0,0,0,0,58.11
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,56.16,55.02,58.3,-0.0509,58.13,0,0,0,0,0,0,0,55.17
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,56.02,55.42,56.67,0.0088336,55.47,0,0,0,0,0,0,0,55.96
0,0,56.08,55.35,56.8,0.0025018,55.96,0,0,0,0,0,0,0,56.1
0,0,57.79,56.28,58.66,0.0354,56.43,0,0,0,0,0,0,0,58.43
0,0,58.55,58.1,59.12,0.0011995,58.36,0,0,0,0,0,0,0,58.43
0,0,58.92,57.7,59.85,0.0151,58.32,0,0,0,0,0,0,0,59.2
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,58.83,58.23,59.25,-0.0015226,59.11,0,0,0,0,0,0,0,59.02
0,0,59.09,58.52,59.52,0.0054311,58.92,0,0,0,0,0,0,0,59.24
0,0,58.7,58.11,59.22,-0.0050796,59.06,0,0,0,0,0,0,0,58.76
0,0,59.22,58.75,59.72,0.0050951,58.88,0,0,0,0,0,0,0,59.18
0,0,59.94,59.27,60.48,0.012,59.36,0,0,0,0,0,0,0,60.07
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,60.09,59.71,60.34,0.005679,59.87,0,0,0,0,0,0,0,60.21
0,0,60.68,60.03,61.06,0.0118,60.23,0,0,0,0,0,0,0,60.94
0,0,60.81,60.32,61.18,0.0062758,60.55,0,0,0,0,0,0,0,60.93
0,0,61.16,60.79,61.47,0.0059152,60.86,0,0,0,0,0,0,0,61.22
0,0,60.55,60.02,61.2,-0.011,61.11,0,0,0,0,0,0,0,60.44
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,60.46,60.1,60.77,0.0018209,60.41,0,0,0,0,0,0,0,60.52
0,0,60.91,60.47,61.16,0.0079169,60.63,0,0,0,0,0,0,0,61.11
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,61.52,61.06,61.83,0.0078431,61.2,0,0,0,0,0,0,0,61.68
0,0,61.64,61.24,61.97,-0.0001619958,61.73,0,0,0,0,0,0,0,61.72
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,61.7,61.09,62.34,-0.0004861449,61.71,0,0,0,0,0,0,0,61.68
0,0,61.19,60.63,61.88,-0.0101,61.68,0,0,0,0,0,0,0,61.06
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,61.14,60.64,61.6,-0.0068182,61.6,0,0,0,0,0,0,0,61.18
0,0,62.76,61.13,64.09,0.0306,61.18,0,0,0,0,0,0,0,63.05
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,63.54,62.64,64.72,-0.0069063,63.71,0,0,0,0,0,0,0,63.27
0,0,62.65,62.11,63.15,-0.0033381,62.91,0,0,0,0,0,0,0,62.7
0,0,61.47,59.15,65.65,-0.0514,62.84,0,0,0,0,0,0,0,59.61
0,0,59.51,58.66,60.31,-0.0071679,59.99,0,0,0,0,0,0,0,59.56
0,0,59.22,58.85,59.78,-0.0095622,59.61,0,0,0,0,0,0,0,59.04
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,58.42,57.91,59.27,-0.0163,59.04,0,0,0,0,0,0,0,58.08
0,0,58.22,57.72,58.72,0.0034465,58.03,0,0,0,0,0,0,0,58.23
0,0,57.84,57.36,58.36,-0.006701,58.2,0,0,0,0,0,0,0,57.81
0,0,58.32,57.56,58.87,0.0072289,58.1,0,0,0,0,0,0,0,58.52
0,0,58.6,58.27,58.98,-0.000853388,58.59,0,0,0,0,0,0,0,58.54
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,58.58,57.68,59.73,-0.014,59.17,0,0,0,0,0,0,0,58.34
0,0,57.05,56.03,58.38,-0.0261,58.26,0,0,0,0,0,0,0,56.74
0,0,55.54,54.77,56.27,-0.0092675,56.11,0,0,0,0,0,0,0,55.59
0,0,54.66,53.85,55.95,-0.0269,55.69,0,0,0,0,0,0,0,54.19
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,52.99,52.13,53.71,-0.0104,53.7,0,0,0,0,0,0,0,53.14
0,0,53.41,52.68,54.06,0.0135,52.77,0,0,0,0,0,0,0,53.48
0,0,53.5,52.81,54.37,-0.0119,53.97,0,0,0,0,0,0,0,53.33
0,0,52.33,51.66,53.2,-0.0179,53.09,0,0,0,0,0,0,0,52.14
0,0,51.96,50.97,53.36,-0.0257,52.92,0,0,0,0,0,0,0,51.56
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,50.63,49.8,51.97,-0.0176,51.01,0,0,0,0,0,0,0,50.11
0,0,50.16,49.31,51.55,-0.0066079,49.94,0,0,0,0,0,0,0,49.61
0,0,50.7,49.47,51.88,0.025,49.51,0,0,0,0,0,0,0,50.75
0,0,51.13,50.24,52.2,-0.0042994,51.17,0,0,0,0,0,0,0,50.95
0,0,50.63,50.09,51.48,-0.0155,51.11,0,0,0,0,0,0,0,50.32
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,49.83,49.42,50.49,-0.011,50.12,0,0,0,0,0,0,0,49.57
0,0,50.07,49.58,50.69,0.0066519,49.61,0,0,0,0,0,0,0,49.94
0,0,50.95,49.95,51.73,0.0242,49.96,0,0,0,0,0,0,0,51.17
0,0,51.33,50.6,51.96,-0.0058005,51.72,0,0,0,0,0,0,0,51.42
0,0,51.9,51.32,52.34,0.0105,51.51,0,0,0,0,0,0,0,52.05
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,51.78,50.88,52.41,-0.0034463,52.23,0,0,0,0,0,0,0,52.05
0,0,52.96,51.93,53.66,0.0224,52.12,0,0,0,0,0,0,0,53.29
0,0,53.83,53.22,54.5,0.0052336,53.5,0,0,0,0,0,0,0,53.78
0,0,53.26,52.55,53.86,-0.0066989,53.74,0,0,0,0,0,0,0,53.38
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,51.51,50.45,52.64,-0.0222,52.6,0,0,0,0,0,0,0,51.43
0,0,50.54,49.69,52.02,-0.0286,51.37,0,0,0,0,0,0,0,49.9
0,0,49.16,48.3,50.44,-0.027,50.08,0,0,0,0,0,0,0,48.73
0,0,47.25,45.88,48.78,-0.0317,48.63,0,0,0,0,0,0,0,47.09
0,0,45.21,43.85,47.03,-0.0372,46.49,0,0,0,0,0,0,0,44.76
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,45.88,43.32,47.56,0.0698,43.7,0,0,0,0,0,0,0,46.75
0,0,47.44,46.47,48.66,-0.0113,47.72,0,0,0,0,0,0,0,47.18
0,0,47.28,46.65,48.41,-0.0034086,46.94,0,0,0,0,0,0,0,46.78
0,0,46.37,45.65,47.57,-0.0261,47.13,0,0,0,0,0,0,0,45.9
0,0,42.9,41.05,46.38,-0.1044,46.09,0,0,0,0,0,0,0,41.28
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,31.12,27.34,34.88,-0.0529,32.87,0,0,0,0,0,0,0,31.13
0,0,33.19,30.2,35.02,0.1314,30.37,0,0,0,0,0,0,0,34.36
0,0,33.96,32.56,36.35,-0.0474,34.62,0,0,0,0,0,0,0,32.98
0,0,31.72,30.02,33.63,-0.0475,33.07,0,0,0,0,0,0,0,31.5
0,0,31.98,30.33,33.87,0.0312,30.77,0,0,0,0,0,0,0,31.73
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,30.18,28.1,33.75,-0.1496,33.75,0,0,0,0,0,0,0,28.7
0,0,27.96,26.63,30.3,-0.0606,28.69,0,0,0,0,0,0,0,26.95
0,0,22.55,20.06,27.22,-0.2439,26.94,0,0,0,0,0,0,0,20.37
0,0,24.76,21.36,27.71,0.1309,22.3,0,0,0,0,0,0,0,25.22
0,0,23.26,19.46,27.89,-0.093,24.73,0,0,0,0,0,0,0,22.43
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,22.74,20.8,24.07,0.0373,22.52,0,0,0,0,0,0,0,23.36
0,0,24.09,23.09,25.16,0.0058651,23.87,0,0,0,0,0,0,0,24.01
0,0,24.21,22.91,25.24,0.0049241,24.37,0,0,0,0,0,0,0,24.49
0,0,23.21,22.38,24.65,-0.068,24.25,0,0,0,0,0,0,0,22.6
0,0,21.94,20.88,23.44,-0.0764,23.29,0,0,0,0,0,0,0,21.51
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,20.1,19.27,20.93,-0.0401,20.93,0,0,0,0,0,0,0,20.09
0,0,20.79,20.01,21.89,0.0124,20.23,0,0,0,0,0,0,0,20.48
0,0,20.59,19.9,21.55,0.0104,20.1,0,0,0,0,0,0,0,20.31
0,0,24.49,20.76,27.39,0.1932,21.22,0,0,0,0,0,0,0,25.32
0,0,27.0,23.52,29.13,0.1423,24.81,0,0,0,0,0,0,0,28.34
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,26.53,25.28,28.24,-0.0003832886,26.09,0,0,0,0,0,0,0,26.08
0,0,24.8,23.54,27.24,-0.1029,26.34,0,0,0,0,0,0,0,23.63
0,0,25.09,23.74,26.45,0.0325,24.3,0,0,0,0,0,0,0,25.09
0,0,24.56,22.57,28.36,-0.1339,26.28,0,0,0,0,0,0,0,22.76
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,23.06,22.03,24.74,-0.089,24.6,0,0,0,0,0,0,0,22.41
